Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,Sensor,Actuator,instances
Vehicle.Drivetrain.BatteryManagement.BatteryTemperature,"3449","sensor","float","False","celsius","","","Temperature of the battery pack","","","",[]
Vehicle.Drivetrain.BatteryManagement.BatteryCapacity,"3450","sensor","int8","False","percent","0","100","Remaining capacity of the batter pack","","","",[]
Vehicle.Drivetrain.BatteryManagement.LowBatteryLevel,"3451","sensor","Boolean","False","","","","Indicates that the battery level is low","","","",[]
Vehicle.Drivetrain.BatteryManagement.ChargingInlet,"3452","attribute","string","False","","","","Indicates the primary charging inlet type fitted to the vehicle","unknown / Not_Fitted / AC_Type_1 / AC_Type_2 / AC_GBT / AC_DC_Type_1_Combo / AC_DC_Type_2_Combo / DC_GBT / DC_Chademo","","",[]
Vehicle.Drivetrain.FuelSystem,"4536","branch","","False","","","","Fuel system data.","","",""
Vehicle.Drivetrain.FuelSystem.FuelType,"3453","attribute","string","False","","","","Defines the fuel type of the vehicle","unknown / gasoline / diesel / electric / hybrid / E85 / CNG / LPG","","",[]
Vehicle.Drivetrain.FuelSystem.HybridType,"3454","attribute","string","False","","","","Defines the hybrid type of the vehicle","unknown / not_applicable / stop_start / belt_ISG / CIMG / PHEV","","",[]
Vehicle.Drivetrain.FuelSystem.TankCapacity,"3455","attribute","uint16","False","l","","","Capacity of the fuel tank in liters","","","",[]
Vehicle.Drivetrain.FuelSystem.Level,"3456","sensor","uint8","False","percent","0","100","Level in fuel tank as percent of capacity. 0 = empty. 100 = full.","","","",[]
Vehicle.Drivetrain.FuelSystem.Range,"3457","sensor","uint32","False","m","","","Range in meters.","","","",[]
Vehicle.Drivetrain.FuelSystem.InstantConsumption,"3458","sensor","float","False","l/100km","0","","Current consumption in liters per 100 km.","","","",[]
Vehicle.Drivetrain.FuelSystem.AverageConsumption,"3459","sensor","float","False","l/100km","0","","Average consumption in liters per 100 km.","","","",[]
Vehicle.Drivetrain.FuelSystem.ConsumptionSinceStart,"3460","sensor","float","False","l","","","Fuel amount consumed since start in liters.","","","",[]
Vehicle.Drivetrain.FuelSystem.TimeSinceStart,"3461","sensor","uint32","False","s","","","Time elapsed since start in seconds.","","","",[]
Vehicle.Drivetrain.FuelSystem.EngineStopStartEnabled,"3462","sensor","boolean","False","","","","Indicates whether eco start stop is currently enabled","","","",[]
Vehicle.Drivetrain.FuelSystem.LowFuelLevel,"3463","sensor","boolean","False","","","","Indicates that the fuel level is low (e.g. <50km range)","","","",[]
Vehicle.Drivetrain.FuelCell,"4537","branch","","False","","","","Fuel Cell data.","","",""
Vehicle.Body,"4538","branch","","False","","","","All body components.","","",""
Vehicle.Body.BodyType,"3464","attribute","string","False","","","","Body type code as defined by ISO 3779","","","",[]
Vehicle.Body.RefuelPosition,"3465","attribute","string","False","","","","Location of the fuel cap or charge port","front_left / front_right / middle_left / middle_right / rear_left / rear_right","","",[]
Vehicle.Body.Hood,"4539","branch","","False","","","","Hood status","","",""
Vehicle.Body.Hood.IsOpen,"3466","actuator","boolean","False","","","","hood open or closed. True = Open. False = Closed","","","",[]
Vehicle.Body.Trunk,"4540","branch","","False","","","","Trunk status","","",""
Vehicle.Body.Trunk.IsOpen,"3467","actuator","boolean","False","","","","Trunk open or closed. True = Open. False = Closed","","","",[]
Vehicle.Body.Trunk.IsLocked,"3468","actuator","boolean","False","","","","Is trunk locked or unlocked. True = Locked. False = Unlocked.","","","",[]
Vehicle.Body.Horn,"4541","branch","","False","","","","Horn signals","","",""
Vehicle.Body.Horn.IsActive,"3469","actuator","boolean","False","","","","Horn active or inactive. True = Active. False = Inactive.","","","",[]
Vehicle.Body.Raindetection,"4542","branch","","False","","","","Rainsensor signals","","",""
Vehicle.Body.Raindetection.intensity,"3470","sensor","uint8","False","percent","","","Rain intensity. 0 = Dry, No Rain. 100 = Covered.","","","",[]
Vehicle.Body.Windshield,"4543","branch","","False","","","","Windshield signals","","",""
Vehicle.Body.Windshield.Wiping,"4962","branch","","False","","","","Front windshield wiper signals","","",""
Vehicle.Body.Windshield.Wiping.Status,"4963","actuator","string","True","","","","Front wiper status","off / slow / medium / fast / interval / rainsensor","","",[['Front', 'Rear']]
Vehicle.Body.Windshield.Wiping.Status.Front,"4963","actuator","string","False","","","","Front wiper status","off / slow / medium / fast / interval / rainsensor","","",
Vehicle.Body.Windshield.Wiping.Status.Rear,"4963","actuator","string","False","","","","Front wiper status","off / slow / medium / fast / interval / rainsensor","","",
Vehicle.Body.Windshield.Heating,"4964","branch","","False","","","","Front windshield heater signals","","",""
Vehicle.Body.Windshield.Heating.Status,"4965","actuator","boolean","True","","","","Front windshield heater status. 0 - off, 1 - on","","","",[['Front', 'Rear']]
Vehicle.Body.Windshield.Heating.Status.Front,"4965","actuator","boolean","False","","","","Front windshield heater status. 0 - off, 1 - on","","","",
Vehicle.Body.Windshield.Heating.Status.Rear,"4965","actuator","boolean","False","","","","Front windshield heater status. 0 - off, 1 - on","","","",
Vehicle.Body.Windshield.WasherFluid,"4966","branch","","False","","","","Front windshield washer fluid signals","","",""
Vehicle.Body.Windshield.WasherFluid.LevelLow,"4967","sensor","boolean","True","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.","","","",[['Front', 'Rear']]
Vehicle.Body.Windshield.WasherFluid.LevelLow.Front,"4967","sensor","boolean","False","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.","","","",
Vehicle.Body.Windshield.WasherFluid.LevelLow.Rear,"4967","sensor","boolean","False","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.","","","",
Vehicle.Body.Windshield.WasherFluid.Level,"4968","sensor","uint8","True","percent","","","Washer fluid level as a percent. 0 = Empty. 100 = Full.","","","",[['Front', 'Rear']]
Vehicle.Body.Windshield.WasherFluid.Level.Front,"4968","sensor","uint8","False","percent","","","Washer fluid level as a percent. 0 = Empty. 100 = Full.","","","",
Vehicle.Body.Windshield.WasherFluid.Level.Rear,"4968","sensor","uint8","False","percent","","","Washer fluid level as a percent. 0 = Empty. 100 = Full.","","","",
Vehicle.Body.Lights,"4552","branch","","False","","","","All lights","","",""
Vehicle.Body.Lights.IsHighBeamOn,"3479","actuator","boolean","False","","","","Is high beam on","","","",[]
Vehicle.Body.Lights.IsLowBeamOn,"3480","actuator","boolean","False","","","","Is low beam on","","","",[]
Vehicle.Body.Lights.IsRunningOn,"3481","actuator","boolean","False","","","","Are running lights on","","","",[]
Vehicle.Body.Lights.IsBackupOn,"3482","actuator","boolean","False","","","","Is backup (reverse) light on","","","",[]
Vehicle.Body.Lights.IsParkingOn,"3483","actuator","boolean","False","","","","Is parking light on","","","",[]
Vehicle.Body.Lights.IsBrakeOn,"3484","actuator","boolean","False","","","","Is brake light on","","","",[]
Vehicle.Body.Lights.IsRearFogOn,"3485","actuator","boolean","False","","","","Is rear fog light on","","","",[]
Vehicle.Body.Lights.IsFrontFogOn,"3486","actuator","boolean","False","","","","Is front fog light on","","","",[]
Vehicle.Body.Lights.IsHazardOn,"3487","actuator","boolean","False","","","","Are hazards on","","","",[]
Vehicle.Body.Lights.IsLeftIndicatorOn,"3488","actuator","boolean","False","","","","Is left indicator flashing","","","",[]
Vehicle.Body.Lights.IsRightIndicatorOn,"3489","actuator","boolean","False","","","","Is right indicator flashing","","","",[]
Vehicle.Body.Mirrors,"4553","branch","","False","","","","All mirrors","","",""
Vehicle.Body.Mirrors.Tilt,"4969","actuator","int8","True","percent","","","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","","",[['Left', 'Right']]
Vehicle.Body.Mirrors.Tilt.Left,"4969","actuator","int8","False","percent","","","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","","",
Vehicle.Body.Mirrors.Tilt.Right,"4969","actuator","int8","False","percent","","","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","","",
Vehicle.Body.Mirrors.Pan,"4970","actuator","int8","True","percent","","","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","","",[['Left', 'Right']]
Vehicle.Body.Mirrors.Pan.Left,"4970","actuator","int8","False","percent","","","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","","",
Vehicle.Body.Mirrors.Pan.Right,"4970","actuator","int8","False","percent","","","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","","",
Vehicle.Body.Mirrors.Heating,"4971","branch","","False","","","","Mirror heater signals","","",""
Vehicle.Body.Mirrors.Heating.Status,"4972","actuator","boolean","True","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","","",[['Left', 'Right']]
Vehicle.Body.Mirrors.Heating.Status.Left,"4972","actuator","boolean","False","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","","",
Vehicle.Body.Mirrors.Heating.Status.Right,"4972","actuator","boolean","False","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","","",
Vehicle.Cabin,"4558","branch","","False","","","","All in-cabin components, including doors.","","",""
Vehicle.Cabin.RearShade,"4559","branch","","False","","","","Rear window shade.","","",""
Vehicle.Cabin.RearShade.Switch,"3496","actuator","string","False","","","","Switch controlling sliding action such as window, sunroof, or blind.","Inactive / Close / Open / OneShotClose / OneShotOpen","","",[]
Vehicle.Cabin.RearShade.Position,"3497","actuator","uint8","False","percent","0","100","Position of side window blind. 0 = Fully retracted. 100 = Fully deployed.","","","",[]
Vehicle.Cabin.HVAC,"4560","branch","","False","","","","Climate control","","",""
Vehicle.Cabin.HVAC.Station,"4973","branch","","False","","","","HVAC for single station in the vehicle","","",""
Vehicle.Cabin.HVAC.Station.FanSpeed,"4974","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",[['Row[1,4]', ['Left', 'Right']]]
Vehicle.Cabin.HVAC.Station.FanSpeed.Row1,"4974","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row1.Left,"4974","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row1.Right,"4974","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row2,"4974","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row2.Left,"4974","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row2.Right,"4974","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row3,"4974","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row3.Left,"4974","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row3.Right,"4974","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row4,"4974","actuator","uint8","True","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row4.Left,"4974","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.FanSpeed.Row4.Right,"4974","actuator","uint8","False","percent","0","100","Fan Speed, 0 = off. 100 = max","","","",
Vehicle.Cabin.HVAC.Station.Temperature,"4975","actuator","int8","True","celsius","-50","50","Temperature","","","",[['Row[1,4]', ['Left', 'Right']]]
Vehicle.Cabin.HVAC.Station.Temperature.Row1,"4975","actuator","int8","True","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row1.Left,"4975","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row1.Right,"4975","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row2,"4975","actuator","int8","True","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row2.Left,"4975","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row2.Right,"4975","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row3,"4975","actuator","int8","True","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row3.Left,"4975","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row3.Right,"4975","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row4,"4975","actuator","int8","True","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row4.Left,"4975","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.Temperature.Row4.Right,"4975","actuator","int8","False","celsius","-50","50","Temperature","","","",
Vehicle.Cabin.HVAC.Station.AirDistribution,"4976","actuator","string","True","","","","Direction of airstream","up / middle / down","","",[['Row[1,4]', ['Left', 'Right']]]
Vehicle.Cabin.HVAC.Station.AirDistribution.Row1,"4976","actuator","string","True","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row1.Left,"4976","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row1.Right,"4976","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row2,"4976","actuator","string","True","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row2.Left,"4976","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row2.Right,"4976","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row3,"4976","actuator","string","True","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row3.Left,"4976","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row3.Right,"4976","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row4,"4976","actuator","string","True","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row4.Left,"4976","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.Station.AirDistribution.Row4.Right,"4976","actuator","string","False","","","","Direction of airstream","up / middle / down","","",
Vehicle.Cabin.HVAC.IsRecirculationActive,"3522","actuator","boolean","False","","","","Is recirculation active.","","","",[]
Vehicle.Cabin.HVAC.IsFrontDefrosterActive,"3523","actuator","boolean","False","","","","Is front defroster active.","","","",[]
Vehicle.Cabin.HVAC.IsRearDefrosterActive,"3524","actuator","boolean","False","","","","Is rear defroster active.","","","",[]
Vehicle.Cabin.HVAC.IsAirConditioningActive,"3525","actuator","boolean","False","","","","Is Air conditioning active.","","","",[]
Vehicle.Cabin.HVAC.AmbientAirTemperature,"3526","sensor","float","False","celsius","","","Ambient air temperature","","","",[]
Vehicle.Cabin.Infotainment,"4573","branch","","False","","","","Infotainment system","","",""
Vehicle.Cabin.Infotainment.Media,"4574","branch","","False","","","","All Media actions","","",""
Vehicle.Cabin.Infotainment.Media.Action,"3527","actuator","string","False","","","","Tells if the media was","unknown / Stop / Play / FastForward / FastBackward / SkipForward / SkipBackward","","",[]
Vehicle.Cabin.Infotainment.Media.Played,"4575","branch","","False","","","","Collection of signals updated in concert when a new media is played","","",""
Vehicle.Cabin.Infotainment.Media.Played.Source,"3528","actuator","string","False","","","","Media selected for playback","unknown / SiriusXM / AM / FM / DAB / TV / CD / DVD / AUX / USB / Disk / Bluetooth / Internet / Voice / Beep","","",[]
Vehicle.Cabin.Infotainment.Media.Played.Artist,"3529","sensor","string","False","","","","Name of artist being played","","","",[]
Vehicle.Cabin.Infotainment.Media.Played.Album,"3530","sensor","string","False","","","","Name of album being played","","","",[]
Vehicle.Cabin.Infotainment.Media.Played.Track,"3531","sensor","string","False","","","","Name of track being played","","","",[]
Vehicle.Cabin.Infotainment.Media.Played.URI,"3532","sensor","string","False","","","","User Resource associated with the media","","","",[]
Vehicle.Cabin.Infotainment.Media.DeclinedURI,"3533","sensor","string","False","","","","URI of suggested media that was declined","","","",[]
Vehicle.Cabin.Infotainment.Media.SelectedURI,"3534","actuator","string","False","","","","URI of suggested media that was selected","","","",[]
Vehicle.Cabin.Infotainment.Media.Volume,"3535","actuator","uint8","False","","0","100","Current Media Volume","","","",[]
Vehicle.Cabin.Infotainment.Navigation,"4576","branch","","False","","","","All navigation actions","","",""
Vehicle.Cabin.Infotainment.Navigation.DestinationSet,"4577","branch","","False","","","","A navigation has been selected.","","",""
Vehicle.Cabin.Infotainment.Navigation.DestinationSet.Latitude,"3536","actuator","Double","False","degrees","-90","90","Latitude of destination","","","",[]
Vehicle.Cabin.Infotainment.Navigation.DestinationSet.Longitude,"3537","actuator","Double","False","degrees","-180","180","Longitude of destination","","","",[]
Vehicle.Cabin.Infotainment.Navigation.CurrentLocation,"4578","branch","","False","","","","The current latitude and longitude of the vehicle.","","",""
Vehicle.Cabin.Infotainment.Navigation.CurrentLocation.Latitude,"3538","sensor","Double","False","degrees","-90","90","Current latitude of vehicle, as reported by GPS.","","","",[]
