Signal.Body.Mirrors.Left.Heater.Status,"105","Boolean","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.",""
Signal.Body.Horn,"","branch","","","","Horn signals",""
Signal.Body.Horn.IsActive,"82","Boolean","","","","Horn active or inactive. True = Active. False = Inactive.",""
Signal.Body.Lights,"","branch","","","","All lights",""
Signal.Body.Lights.IsLeftIndicatorOn,"101","Boolean","","","","Is left indicator flashing",""
Signal.Body.Lights.IsLowBeamOn,"93","Boolean","","","","Is low beam on",""
Signal.Body.Lights.IsHighBeamOn,"92","Boolean","","","","Is high beam on",""
Signal.Body.Lights.IsFrontFogOn,"99","Boolean","","","","Is front fog light on",""
Signal.Body.Lights.IsBrakeOn,"97","Boolean","","","","Is brake light on",""
Signal.Body.Lights.IsRightIndicatorOn,"102","Boolean","","","","Is right indicator flashing",""
Signal.Body.Lights.IsBackupOn,"95","Boolean","","","","Is backup (reverse) light on",""
Signal.Body.Lights.IsParkingOn,"96","Boolean","","","","Is parking light on",""
Signal.Body.Lights.IsRearFogOn,"98","Boolean","","","","Is rear fog light on",""
Signal.Body.Lights.IsHazardOn,"100","Boolean","","","","Are hazards on",""
Signal.Body.Lights.IsRunningOn,"94","Boolean","","","","Are running lights on",""
Signal.Body.Rainsensor,"","branch","","","","Rainsensor signals",""
Signal.Body.Rainsensor.Intensity,"83","UInt8","percentage","","","Rain intensity. 0 = Dry, No Rain. 100 = Covered.",""
Signal.Body.Trunk,"","branch","","","","Trunk status",""
Signal.Body.Trunk.IsLocked,"81","Boolean","","","","Is trunk locked or unlocked. True = Locked. False = Unlocked.",""
Signal.Body.Trunk.IsOpen,"80","Boolean","","","","Trunk open or closed. True = Open. False = Closed",""
Signal.Body.Windshield,"","branch","","","","Windshield signals",""
Signal.Body.Windshield.Front,"","branch","","","","Front windshield signals",""
Signal.Body.Windshield.Front.Heater,"","branch","","","","Front windshield heater signals",""
Signal.Body.Windshield.Front.Heater.Status,"85","String","","","","Front windshield heater status","off / on"
Signal.Body.Windshield.Front.Wiper,"","branch","","","","Front windshield wiper signals",""
Signal.Body.Windshield.Front.Wiper.Status,"84","String","","","","Front wiper status","off / slow / medium / fast / interval / rainsensor"
Signal.Body.Windshield.Front.WasherFluid,"","branch","","","","Front windshield washer fluid signals",""
Signal.Body.Windshield.Front.WasherFluid.LevelLow,"86","Boolean","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.",""
Signal.Body.Windshield.Front.WasherFluid.Level,"87","UInt8","percent","","","Washer fluid level as a percentage. 0 = Empty. 100 = Full.",""
Signal.Body.Windshield.Rear,"","branch","","","","Rear windshield signals",""
Signal.Body.Windshield.Rear.Heater,"","branch","","","","Rear windshield heater signals",""
Signal.Body.Windshield.Rear.Heater.Status,"89","String","","","","Rear windshield heater status","off / on"
Signal.Body.Windshield.Rear.Wiper,"","branch","","","","Rear windshield wiper signals",""
Signal.Body.Windshield.Rear.Wiper.Status,"88","String","","","","Rear wiper status","off / slow / medium / fast / interval / rainsensor"
Signal.Body.Windshield.Rear.WasherFluid,"","branch","","","","Rear windshield washer fluid signals",""
Signal.Body.Windshield.Rear.WasherFluid.LevelLow,"90","Boolean","","","","Low level indication for washer fluid. True = Level Low. False = Level OK.",""
Signal.Body.Windshield.Rear.WasherFluid.Level,"91","UInt8","percent","","","Washer fluid level as a percentage. 0 = Empty. 100 = Full.",""
Signal.Body.Hood,"","branch","","","","Hood status",""
Signal.Body.Hood.IsOpen,"79","Boolean","","","","hood open or closed. True = Open. False = Closed",""
Signal.Drivetrain,"","branch","","","","Drivetrain data for internal combustion engines, transmissions, electric motors, etc.",""
Signal.Drivetrain.FuelCell,"","branch","","","","Fuel Cell signals",""
Signal.Drivetrain.FuelSystem,"","branch","","","","Fuel system signals",""
Signal.Drivetrain.FuelSystem.ConsumptionSinceStart,"77","UInt32","ml","","","Fuel amount consumed since start in milliliters.",""
Signal.Drivetrain.FuelSystem.TimeSinceStart,"78","UInt32","s","","","Time elapsed since start in seconds.",""
Signal.Drivetrain.FuelSystem.InstantConsumption,"75","UInt32","ml/100km","","","Current consumption in milliliters per 100 km.",""
Signal.Drivetrain.FuelSystem.Level,"73","UInt8","percentage","","","Level in fuel tank as percentage of capacity. 0 = empty. 100 = full.",""
Signal.Drivetrain.FuelSystem.Range,"74","UInt32","m","","","Range in meters.",""
Signal.Drivetrain.FuelSystem.AverageConsumption,"76","UInt32","ml/100km","","","Average consumption in milliliters per 100 km.",""
Signal.Drivetrain.Transmission,"","branch","","","","Transmission-specific data, stopping at the drive shafts.",""
Signal.Drivetrain.Transmission.Gear,"64","Int8","","-1","16","Current gear. 0=Neutral. -1=Reverse",""
Signal.Drivetrain.Transmission.Odometer,"68","UInt32","m","","","Odometer reading",""
Signal.Drivetrain.Transmission.PerformanceMode,"65","String","","","","Current gearbox performance mode.","normal / sport / economy / snow / rain"
Signal.Drivetrain.Transmission.ClutchWear,"70","UInt8","percentage","","","Clutch wear as a percentage. 0 = no wear. 100 = worn.",""
Signal.Drivetrain.Transmission.TripMeter,"69","UInt32","m","","","Current trip meter reading",""
Signal.Drivetrain.Transmission.Speed,"63","Int32","m/s","-250","250","Vehicle speed, as sensed by the gearbox.",""
Signal.Drivetrain.Transmission.GearChangeMode,"66","String","","","","Is the gearbox in automatic or manual (paddle) mode.","manual / automatic"
Signal.Drivetrain.Transmission.Temperature,"67","Int16","celsius","-50","200","The current gearbox temperature",""
Signal.Drivetrain.ElectricMotor,"","branch","","","","Electric Motor specific signals.",""
Signal.Drivetrain.InternalCombustionEngine,"","branch","","","","Engine-specific data, stopping at the bell housing.",""
Signal.Drivetrain.InternalCombustionEngine.EOP,"60","Int16","mbar","0","10000","Engine oil pressure.",""
Signal.Drivetrain.InternalCombustionEngine.MAP,"57","Int16","mbar","0","10000","Manifold air pressure possibly boosted using forced induction.",""
Signal.Drivetrain.InternalCombustionEngine.Power,"61","Int16","kW","0","2000","Current engine power output.",""
Signal.Drivetrain.InternalCombustionEngine.EOT,"56","Int16","celsius","-50","300","Engine oil temperature.",""
Signal.Drivetrain.InternalCombustionEngine.Torque,"62","Int16","Nm","0","3000","Current engine torque.",""
Signal.Drivetrain.InternalCombustionEngine.ECT,"55","Int16","celsius","-50","200","Engine coolant temperature.",""
Signal.Drivetrain.InternalCombustionEngine.TPS,"59","Int8","percent","0","100","Current throttle position.",""
Signal.Drivetrain.InternalCombustionEngine.MAF,"58","Int16","g/s","0","3000","Grams of air drawn into engine per second.",""
Signal.Drivetrain.InternalCombustionEngine.RPM,"54","UInt16","rpm","0","20000","Engine speed measured as rotations per minute.",""
Signal.Drivetrain.BatteryManagement,"","branch","","","","Battery Management signals",""
Signal.Drivetrain.BatteryManagement.BatteryCapacity,"72","Int8","percentage","","","Remaining capacity of the batter pack",""
Signal.Drivetrain.BatteryManagement.BatteryTemperature,"71","Float","celsius","","","Temperature of the battery pack",""
Signal.OBD,"","branch","","","","OBD data.",""
Signal.OBD.TimingAdvance,"999","Float","degree","","","PID 0E - Time advance",""
Signal.OBD.DistanceSinceDTCClear,"1056","Float","km","","","PID 31 - Distance traveled since codes cleared",""
Signal.OBD.IntakeTemp,"1000","Float","celsius","","","PID 0F - Intake temperature",""
Signal.OBD.LongTermO2Trim1,"1085","UInt8","percent","","","PID 56 - Long term secondary O2 trim - Bank 1",""
Signal.OBD.WarmupsSinceDTCClear,"1055","UInt16","","","","PID 30 - Number of warm-ups since codes cleared",""
Signal.OBD.MaxMAF,"1079","Float","g/s","","","PID 50 - Maximum flow for mass air flow sensor",""
Signal.OBD.ControlModuleVoltage,"1066","Float","V","","","PID 42 - Control module voltage",""
Signal.OBD.AcceleratorPositionE,"1074","UInt8","percent","","","PID 4A - Accelerator pedal position E",""
Signal.OBD.FuelStatus,"988","String","","","","PID 03 - Fuel status",""
Signal.OBD.FuelPressure,"995","Float","kpa","","","PID 0A - Fuel pressure",""
Signal.OBD.O2SensorsAlt,"","branch","","","","PID 1D - Presence of alternate oxygen sensors for the banks",""
Signal.OBD.O2SensorsAlt.Bank2,"","branch","","","","Alternate oxygen sensors on bank 2, at most 4 sensors per bank",""
Signal.OBD.O2SensorsAlt.Bank2.Sensor1,"","branch","","","","Alternate oxygen sensor",""
Signal.OBD.O2SensorsAlt.Bank2.Sensor1.Present,"1025","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2SensorsAlt.Bank2.Sensor3,"","branch","","","","Alternate oxygen sensor",""
Signal.OBD.O2SensorsAlt.Bank2.Sensor3.Present,"1027","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2SensorsAlt.Bank2.Sensor2,"","branch","","","","Alternate oxygen sensor",""
Signal.OBD.O2SensorsAlt.Bank2.Sensor2.Present,"1026","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2SensorsAlt.Bank2.Sensor4,"","branch","","","","Alternate oxygen sensor",""
Signal.OBD.O2SensorsAlt.Bank2.Sensor4.Present,"1028","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2SensorsAlt.Bank1,"","branch","","","","Alternate oxygen sensors on bank 1, at most 4 sensors per bank",""
Signal.OBD.O2SensorsAlt.Bank1.Sensor1,"","branch","","","","Alternate oxygen sensor",""
Signal.OBD.O2SensorsAlt.Bank1.Sensor1.Present,"1021","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2SensorsAlt.Bank1.Sensor3,"","branch","","","","Alternate oxygen sensor",""
Signal.OBD.O2SensorsAlt.Bank1.Sensor3.Present,"1023","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2SensorsAlt.Bank1.Sensor2,"","branch","","","","Alternate oxygen sensor",""
Signal.OBD.O2SensorsAlt.Bank1.Sensor2.Present,"1022","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2SensorsAlt.Bank1.Sensor4,"","branch","","","","Alternate oxygen sensor",""
Signal.OBD.O2SensorsAlt.Bank1.Sensor4.Present,"1024","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.ShortTermFuelTrim2,"993","Int8","percentage","","","PID 08 - Short Term (immediate) Fuel Trim - Bank 2 - negative percentage leaner, positive percentage richer",""
Signal.OBD.TimeSinceDTCCleared,"1078","UInt32","min","","","PID 4E - Time since trouble codes cleared",""
Signal.OBD.AuxInputStatus,"1029","Boolean","","","","PID 1E - Auxiliary input status (power take off)",""
Signal.OBD.ShortTermFuelTrim1,"991","Int8","percentage","","","PID 06 - Short Term (immediate) Fuel Trim - Bank 1 - negative percentage leaner, positive percentage richer",""
Signal.OBD.FuelRailPressureDirect,"1034","Float","kpa","","","PID 23 - Fuel rail pressure direct inject",""
Signal.OBD.RelativeThrottlePosition,"1069","UInt8","percent","","","PID 45 - Relative throttle position",""
Signal.OBD.Status,"","branch","","","","PID 01 - OBD status",""
Signal.OBD.Status.DTCCount,"986","UInt32","","","","Number of Diagnostic Trouble Codes (DTC)",""
Signal.OBD.Status.IgnitionType,"","branch","","","","Type of the ignition for ICE - spark = spark plug ignition, compression = self-igniting (Diesel engines)","spark / compression"
Signal.OBD.Status.MIL,"985","Boolean","","","","Malfunction Indicator Light (MIL) False = Off, True = On",""
Signal.OBD.AirStatus,"1003","String","","","","PID 12 - Secondary air status",""
Signal.OBD.EVAPVaporPressure,"1057","Float","pa","","","PID 32 - Evaporative purge (EVAP) system pressure",""
Signal.OBD.FuelInjectionTiming,"1092","Int16","degree","","","PID 5D - Fuel injection timing",""
Signal.OBD.FuelRate,"1093","Float","l/h","","","PID 5E - Engine fuel rate",""
Signal.OBD.LongTermFuelTrim1,"992","Int8","percentage","","","PID 07 - Long Term (learned) Fuel Trim - Bank 1 - negative percentage leaner, positive percentage richer",""
Signal.OBD.AcceleratorPositionF,"1075","UInt8","percent","","","PID 4B - Accelerator pedal position F",""
Signal.OBD.EthanolPercent,"1081","UInt8","percent","","","PID 52 - Percentage of ethanol in the fuel",""
Signal.OBD.LongTermFuelTrim2,"994","Int8","percentage","","","PID 09 - Long Term (learned) Fuel Trim - Bank 2 - negative percentage leaner, positive percentage richer",""
Signal.OBD.CoolantTemperature,"990","Float","celsius","","","PID 05 - Coolant temperature",""
Signal.OBD.CommandedEVAP,"1053","UInt8","percentage","","","PID 2E - Commanded evaporative purge (EVAP) valve",""
Signal.OBD.Catalyst,"","branch","","","","Catalyst signals",""
Signal.OBD.Catalyst.Bank2,"","branch","","","","Catalyst bank 2 signals",""
Signal.OBD.Catalyst.Bank2.Temperature2,"1062","Float","celsius","","","PID 3F - Catalyst temperature from bank 2, sensor 2",""
Signal.OBD.Catalyst.Bank2.Temperature1,"1061","Float","celsius","","","PID 3D - Catalyst temperature from bank 2, sensor 1",""
Signal.OBD.Catalyst.Bank1,"","branch","","","","Catalyst bank 1 signals",""
Signal.OBD.Catalyst.Bank1.Temperature2,"1060","Float","celsius","","","PID 3E - Catalyst temperature from bank 1, sensor 2",""
Signal.OBD.Catalyst.Bank1.Temperature1,"1059","Float","celsius","","","PID 3C - Catalyst temperature from bank 1, sensor 1",""
Signal.OBD.AcceleratorPositionD,"1073","UInt8","percent","","","PID 49 - Accelerator pedal position D",""
Signal.OBD.RPM,"997","Float","rpm","","","PID 0C - Engine speed measured as rotations per minute",""
Signal.OBD.PidsB,"1031","UInt32","","","","PID 20 - Bitarry of the supported pids 21 to 40",""
Signal.OBD.PidsA,"984","UInt32","","","","PID 00 - Bitarry of the supported pids 01 to 20",""
Signal.OBD.AbsoluteLoad,"1067","UInt8","percent","","","PID 43 - Absolute load value",""
Signal.OBD.EGRError,"1052","UInt8","percentage","","","PID 2D - Exhaust gas recirculation (EGR) error",""
Signal.OBD.RunTimeMIL,"1077","UInt32","min","","","PID 4D - Run time with MIL on",""
Signal.OBD.CommandedEGR,"1051","UInt8","percentage","","","PID 2C - Commanded exhaust gas recirculation (EGR)",""
Signal.OBD.FuelRailPressureAbsolute,"1088","Float","kpa","","","PID 59 - Absolute fuel rail pressure",""
Signal.OBD.FuelLevel,"1054","UInt8","percentage","","","PID 2F - Fuel level in the fuel tank",""
Signal.OBD.CommandedEquivalenceRatio,"1068","Float","ratio","","","PID 44 - Commanded equivalence ratio",""
Signal.OBD.AmbientAirTemperature,"1070","Float","celsius","","","PID 46 - Ambient air temperature",""
Signal.OBD.ThrottlePositionB,"1071","UInt8","percent","","","PID 47 - Absolute throttle position B",""
Signal.OBD.ThrottlePositionC,"1072","UInt8","percent","","","PID 48 - Absolute throttle position C",""
Signal.OBD.ShortTermO2Trim1,"1084","UInt8","percent","","","PID 55 - Short term secondary O2 trim - Bank 1",""
Signal.OBD.DistanceWithMIL,"1032","UInt32","kilometer","","","PID 21 - Distance traveled with MIL on",""
Signal.OBD.EVAPVaporPressureAbsolute,"1082","Float","kpa","","","PID 53 - Absolute evaporative purge (EVAP) system pressure",""
Signal.OBD.ThrottleActuator,"1076","UInt8","percent","","","PID 4C - Commanded throttle actuator",""
Signal.OBD.O2SensorsWR,"","branch","","","","Wide range/band oxygen sensors",""
Signal.OBD.O2SensorsWR.Sensor8,"","branch","","","","Wide range/band oxygen senor 8",""
Signal.OBD.O2SensorsWR.Sensor8.Current,"1050","Float","A","","","PID 3B - Lambda current for wide range/band oxygen sensor 8",""
Signal.OBD.O2SensorsWR.Sensor8.Voltage,"1049","Float","V","","","PID 2B - Lambda voltage for wide range/band oxygen sensor 8",""
Signal.OBD.O2SensorsWR.Sensor1,"","branch","","","","Wide range/band oxygen senor 1",""
Signal.OBD.O2SensorsWR.Sensor1.Current,"1036","Float","A","","","PID 34 - Lambda current for wide range/band oxygen sensor 1",""
Signal.OBD.O2SensorsWR.Sensor1.Voltage,"1035","Float","V","","","PID 24 - Lambda voltage for wide range/band oxygen sensor 1",""
Signal.OBD.O2SensorsWR.Sensor3,"","branch","","","","Wide range/band oxygen senor 3",""
Signal.OBD.O2SensorsWR.Sensor3.Current,"1040","Float","A","","","PID 36 - Lambda current for wide range/band oxygen sensor 4",""
Signal.OBD.O2SensorsWR.Sensor3.Voltage,"1039","Float","V","","","PID 26 - Lambda voltage for wide range/band oxygen sensor 3",""
Signal.OBD.O2SensorsWR.Sensor2,"","branch","","","","Wide range/band oxygen senor 2",""
Signal.OBD.O2SensorsWR.Sensor2.Current,"1038","Float","A","","","PID 35 - Lambda current for wide range/band oxygen sensor 2",""
Signal.OBD.O2SensorsWR.Sensor2.Voltage,"1037","Float","V","","","PID 25 - Lambda voltage for wide range/band oxygen sensor 2",""
Signal.OBD.O2SensorsWR.Sensor5,"","branch","","","","Wide range/band oxygen senor 5",""
Signal.OBD.O2SensorsWR.Sensor5.Current,"1044","Float","A","","","PID 38 - Lambda current for wide range/band oxygen sensor 5",""
Signal.OBD.O2SensorsWR.Sensor5.Voltage,"1043","Float","V","","","PID 28 - Lambda voltage for wide range/band oxygen sensor 5",""
Signal.OBD.O2SensorsWR.Sensor4,"","branch","","","","Wide range/band oxygen senor 4",""
Signal.OBD.O2SensorsWR.Sensor4.Current,"1042","Float","A","","","PID 37 - Lambda current for wide range/band oxygen sensor 4",""
Signal.OBD.O2SensorsWR.Sensor4.Voltage,"1041","Float","V","","","PID 27 - Lambda voltage for wide range/band oxygen sensor 4",""
Signal.OBD.O2SensorsWR.Sensor7,"","branch","","","","Wide range/band oxygen senor 7",""
Signal.OBD.O2SensorsWR.Sensor7.Current,"1048","Float","A","","","PID 3A - Lambda current for wide range/band oxygen sensor 7",""
Signal.OBD.O2SensorsWR.Sensor7.Voltage,"1047","Float","V","","","PID 2A - Lambda voltage for wide range/band oxygen sensor 7",""
Signal.OBD.O2SensorsWR.Sensor6,"","branch","","","","Wide range/band oxygen senor 6",""
Signal.OBD.O2SensorsWR.Sensor6.Current,"1046","Float","A","","","PID 39 - Lambda current for wide range/band oxygen sensor 6",""
Signal.OBD.O2SensorsWR.Sensor6.Voltage,"1045","Float","V","","","PID 29 - Lambda voltage for wide range/band oxygen sensor 6",""
Signal.OBD.OilTemperature,"1091","UInt8","celsius","","","PID 5C - Engine oil temperature",""
Signal.OBD.MAP,"996","Float","kpa","","","PID 0B - Intake manifold pressure",""
Signal.OBD.LongTermO2Trim2,"1087","UInt8","percent","","","PID 58 - Long term secondary O2 trim - Bank 2",""
Signal.OBD.OBDCompliance,"1020","String","","","","PID 1C - Compliance details of OBD",""
Signal.OBD.DriveCycleStatus,"","branch","","","","PID 41 - OBD status for the current drive cycle",""
Signal.OBD.DriveCycleStatus.DTCCount,"1065","UInt32","","","","Number of Diagnostic Trouble Codes (DTC)",""
Signal.OBD.DriveCycleStatus.IgnitionType,"","branch","","","","Type of the ignition for ICE - spark = spark plug ignition, compression = self-igniting (Diesel engines)","spark / compression"
Signal.OBD.DriveCycleStatus.MIL,"1064","Boolean","","","","Malfunction Indicator Light (MIL) - False = Off, True = On",""
Signal.OBD.O2Sensors,"","branch","","","","PID 13 - Presence of oxygen sensors for the banks",""
Signal.OBD.O2Sensors.Bank2,"","branch","","","","Oxygen sensors on bank 2, at most 4 sensors per bank",""
Signal.OBD.O2Sensors.Bank2.Sensor1,"","branch","","","","Oxygen sensor",""
Signal.OBD.O2Sensors.Bank2.Sensor1.Voltage,"1013","Float","V","","","PID 18 - Sensor voltage",""
Signal.OBD.O2Sensors.Bank2.Sensor1.Present,"1012","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2Sensors.Bank2.Sensor3,"","branch","","","","Oxygen sensor",""
Signal.OBD.O2Sensors.Bank2.Sensor3.Voltage,"1017","Float","V","","","PID 1A - Sensor voltage",""
Signal.OBD.O2Sensors.Bank2.Sensor3.Present,"1016","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2Sensors.Bank2.Sensor2,"","branch","","","","Oxygen sensor",""
Signal.OBD.O2Sensors.Bank2.Sensor2.Voltage,"1015","Float","V","","","PID 19 - Sensor voltage",""
Signal.OBD.O2Sensors.Bank2.Sensor2.Present,"1014","Boolean","","","","Sensor present - True = sensor present, False = sensor not present",""
Signal.OBD.O2Sensors.Bank2.Sensor4,"","branch","","","","Oxygen sensor",""
Signal.OBD.O2Sensors.Bank2.Sensor4.Voltage,"1019","Float","V","","","PID 1B - Sensor voltage",""
